Periode;Soort uitgaven;Algemene categorie;Specifieke categorie;College/Collegelid;Omschrijving;Bedrag
1-1-2014;Materiele uitgaven;ICT;Aan externe partij uitbestede ICT dienstverlening;;Hosting;60,5
1-1-2014;Materiele uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;;Papier;60,5
1-1-2014;Personele uitgaven;Eigen personeel;Representatie voor eigen personeel;;Lunch met team;67,5
1-1-2014;Materiele uitgaven;Communicatie;Evenementen en congresorganisatie;;Diversen;68,33
1-1-2014;Materiele uitgaven;Diensten en middelen;Inrichting van gebouwen;;Klein onderhoud;68,52
1-1-2014;Materiele uitgaven;Diensten en middelen;Post-, koeriers- en transportdiensten;;Postvoorziening;71,8
1-1-2014;Materiele uitgaven;ICT;Spraak en Data verbindingen;;Datalijnen;72,6
1-1-2014;Materiele uitgaven;ICT;Aan externe partij uitbestede ICT dienstverlening;;Ondersteuning webinar;72,6
1-1-2014;Personele uitgaven;Eigen personeel;Studie en opleiding;;Inhoudelijke cursus of opleiding;75
1-1-2014;Personele uitgaven;Eigen personeel;Representatie voor eigen personeel;;Lunch met team;78
1-1-2014;Materiele uitgaven;Communicatie;Relatiegeschenken;;Aankoop relatiegeschenken;80
1-1-2014;Materiele uitgaven;ICT;Aan externe partij uitbestede ICT dienstverlening;;ICT dienstverlening;87,12
