;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
8-2-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;3.963,96
8-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur inkoopadvies;6.245,42
8-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;6.306,52
8-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;6.317,41
15-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;6.442,04
17-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur inkoopadvies;7.356,80
3-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur arbeidsmarktexpertise;10.672,20
3-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;11.064,24
17-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;11.946,94
17-2-16;Personele uitgaven;Externe Inhuur;Interim-management;Inhuur Interim-management;12.421,86
17-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;13.184,16
3-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur inkoopadvies;13.702,04
17-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;14.641,00
17-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;16.117,20
15-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;18.266,16
8-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;20.734,56
3-2-16;Materiële uitgaven;Bijdrage SSO;Bijdrage SSO;Dienstverlening P-direct;41.519,94
3-2-16;Personele uitgaven;uitbesteding;;Jaarrekeningcontrole;12.644,50
10-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;100,00
17-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;100,00
17-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;127,00
